SECTION: TIME_SERIES_ODDS
# 格式说明：每行一条记录，字段用 | 分隔：timestamp | odds | volume | open_interest
# 时间格式请统一为 ISO 8601（YYYY-MM-DD 或 YYYY-MM-DDTHH:MM:SSZ）

2026-03-17 | 0.42 | 12500 | 25000
2026-03-18 | 0.44 | 9800  | 24900
2026-03-19 | 0.40 | 15000 | 25120
2026-03-20 | 0.38 | 21000 | 25300
2026-03-21 | 0.35 | 17500 | 25250
2026-03-22 | 0.36 | 16000 | 25200
2026-03-23 | 0.33 | 19000 | 25500
2026-03-24 | 0.30 | 23000 | 26000
2026-03-25 | 0.28 | 30000 | 27000
2026-03-26 | 0.31 | 22000 | 26800
2026-03-27 | 0.34 | 18000 | 26500
2026-03-28 | 0.37 | 14000 | 26300
2026-03-29 | 0.39 | 13000 | 26200
2026-03-30 | 0.41 | 11000 | 26050
2026-03-31 | 0.43 | 9000  | 25900
2026-04-01 | 0.47 | 8000  | 25700
2026-04-02 | 0.50 | 7000  | 25500
2026-04-03 | 0.52 | 6500  | 25400
2026-04-04 | 0.49 | 7200  | 25350
2026-04-05 | 0.46 | 9500  | 25400
2026-04-06 | 0.44 | 12000 | 25550
2026-04-07 | 0.41 | 14000 | 25700
2026-04-08 | 0.38 | 17000 | 25900
2026-04-09 | 0.36 | 20000 | 26150
2026-04-10 | 0.34 | 22000 | 26400
2026-04-11 | 0.32 | 21000 | 26600
2026-04-12 | 0.30 | 25000 | 27000
2026-04-13 | 0.29 | 26000 | 27300
2026-04-14 | 0.27 | 28000 | 27700
2026-04-15 | 0.25 | 32000 | 28500
